iter	Passed	Remaining
586	1298	913
587	1300	911
588	1302	909
589	1305	907
590	1307	905
591	1310	902
592	1312	900
593	1314	898
594	1316	896
595	1319	894
596	1321	891
597	1323	889
598	1325	887
599	1327	885
600	1330	883
601	1332	880
602	1334	878
603	1336	876
604	1339	874
605	1341	871
606	1343	869
607	1344	867
608	1346	864
609	1348	862
610	1350	859
611	1352	857
612	1354	855
613	1356	852
614	1358	850
615	1361	848
616	1363	846
617	1365	844
618	1368	842
619	1370	839
620	1372	837
621	1374	835
622	1377	833
623	1379	831
624	1381	829
625	1385	827
626	1387	825
627	1389	823
628	1391	820
629	1393	818
630	1395	816
631	1398	814
632	1400	811
633	1402	809
634	1404	807
635	1407	805
636	1409	802
637	1411	800
638	1413	798
639	1415	796
640	1417	793
641	1419	791
642	1421	788
643	1423	786
644	1425	784
645	1426	781
646	1428	779
647	1430	777
648	1433	775
649	1435	772
650	1437	770
651	1439	768
652	1441	766
653	1443	763
654	1445	761
655	1448	759
656	1450	757
657	1452	755
658	1456	753
659	1458	751
660	1460	749
661	1462	746
662	1464	744
663	1466	742
664	1468	739
665	1470	737
666	1472	735
667	1474	732
668	1476	730
669	1478	728
670	1480	725
671	1482	723
672	1484	721
673	1487	719
674	1489	717
675	1491	714
676	1494	712
677	1496	710
678	1501	710
679	1504	708
680	1507	706
681	1509	703
682	1511	701
683	1514	699
684	1516	697
685	1518	694
686	1520	692
687	1522	690
688	1524	688
689	1526	685
690	1528	683
691	1531	681
692	1533	679
693	1535	677
694	1538	675
695	1540	672
696	1542	670
697	1544	668
698	1546	665
699	1548	663
700	1550	661
701	1552	659
702	1554	656
703	1556	654
704	1558	652
705	1560	649
706	1563	647
707	1565	645
708	1567	643
709	1569	640
710	1571	638
711	1573	636
712	1576	634
713	1578	632
714	1581	630
715	1583	628
716	1586	626
717	1588	623
718	1590	621
719	1593	619
720	1595	617
721	1597	615
722	1599	612
723	1601	610
724	1604	608
725	1605	606
726	1608	604
727	1611	601
728	1613	599
729	1615	597
730	1616	595
731	1619	592
732	1621	590
733	1622	588
734	1624	585
735	1626	583
736	1628	581
737	1630	578
738	1632	576
739	1634	574
740	1636	571
741	1638	569
742	1639	567
743	1642	565
744	1644	562
745	1646	560
746	1649	558
747	1651	556
748	1653	554
749	1655	551
750	1657	549
751	1660	547
752	1662	545
753	1664	543
754	1666	540
755	1669	538
756	1672	536
757	1674	534
758	1677	532
759	1680	530
760	1682	528
761	1684	526
762	1686	523
763	1689	521
764	1691	519
765	1694	517
766	1696	515
767	1698	513
768	1700	510
769	1702	508
770	1704	506
771	1706	503
772	1708	501
773	1710	499
774	1712	497
775	1714	495
776	1716	492
777	1719	490
778	1721	488
779	1723	485
780	1725	483
781	1727	481
782	1729	479
783	1731	476
784	1732	474
785	1734	472
786	1736	470
787	1739	467
788	1741	465
789	1743	463
790	1745	461
791	1748	459
792	1750	456
793	1752	454
794	1754	452
795	1756	450
796	1758	448
797	1761	445
798	1763	443
799	1765	441
800	1768	439
801	1770	437
802	1772	434
803	1775	432
804	1778	430
805	1780	428
806	1782	426
807	1784	424
808	1787	421
809	1789	419
810	1791	417
811	1793	415
812	1795	413
813	1797	410
814	1799	408
815	1801	406
816	1803	403
817	1805	401
818	1807	399
819	1809	397
820	1811	394
821	1813	392
822	1816	390
823	1818	388
824	1820	386
825	1822	383
826	1825	381
827	1826	379
828	1828	377
829	1830	374
830	1832	372
831	1835	370
832	1837	368
833	1839	366
834	1841	363
835	1844	361
836	1846	359
837	1849	357
838	1851	355
839	1853	353
840	1855	350
841	1857	348
842	1860	346
843	1862	344
844	1864	342
845	1867	339
846	1868	337
847	1870	335
848	1872	333
849	1875	330
850	1877	328
851	1879	326
852	1881	324
853	1883	321
854	1885	319
855	1887	317
856	1889	315
857	1891	313
